nome,capital,distancia_aerea_km,distancia_rodoviaria_km,populacao_2025,pib_bilhoes,pib_per_capita,idh_2021,empregos_formais
João Pessoa,1,103.6,115.88,888700,22.2,26900,ND,301600
Maceió,1,203.24,258.44,994500,27.5,26600,ND,283800
Natal,1,253.03,284.48,890000,33.2,35200,ND,ND
Aracaju,1,398.77,498.64,628800,18.4,27400,0.77,225600
Fortaleza,1,629.36,778.68,2700000,65.8,24200,ND,ND
